acronym,Indicator,partner_name,Outcomes
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,International Livestock Research Institute,27
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,International Livestock Research Institute,25
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",International Livestock Research Institute,24
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,AICCRA EA ILRI,24
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Columbia University,24
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Not Provided,24
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",AICCRA Theme 1 ILRI,21
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),19
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",AICCRA WA ALLIANCE (before ICRISAT),18
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",AICCRA Theme 4 ALLIANCE,17
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",International Crops Research Institute for the Semi-Arid Tropics,17
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Columbia University,17
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Africa Rice Center,17
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,AICCRA EA ILRI,17
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),16
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,International Water Management Institute,16
PDO Indicator 4,(2024-2025) PDO Indicator 4:  Enhanced climate information services and/or validated climate-smart agriculture technologies originating in one SSA country are increasingly being made accessible in other SSA countries. (Number) ​,AICCRA WA ALLIANCE (before ICRISAT),16
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),International Crops Research Institute for the Semi-Arid Tropics,15
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Africa Rice Center,14
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,AICCRA WA ALLIANCE (before ICRISAT),14
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,AICCRA EA ILRI,14
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),14
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,Africa Rice Center,14
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,International Water Management Institute,14
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),13
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",International Livestock Research Institute,13
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,International Crops Research Institute for the Semi-Arid Tropics,13
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",International Water Management Institute,12
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),Not Provided,12
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,International Crops Research Institute for the Semi-Arid Tropics,12
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",African Group of Negotiators Expert Support,11
IPI 2.2,"(2024-2025) IPI 2.2: Capacity of regional organizations with PPAs to generate climate-relevant knowledge products, decision making tools and advisory services strengthened (% of IPI1.1)​",AICCRA EA ILRI,11
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,Africa Rice Center,11
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,AICCRA Regional Partner - ICPAC,11
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),11
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",International Institute of Tropical Agriculture,10
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,AICCRA Gender and Social Inclusion Leader (Lead by ILRI),10
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Columbia University,10
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,AICCRA Theme 4 ALLIANCE,10
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,International Water Management Institute,10
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",AICCRA Regional Partner - RUFORUM,9
IPI 2.2,"(2024-2025) IPI 2.2: Capacity of regional organizations with PPAs to generate climate-relevant knowledge products, decision making tools and advisory services strengthened (% of IPI1.1)​",AICCRA Regional Partner - RUFORUM,9
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,AICCRA Regional Partner - CCARDESA,9
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,AICCRA WA ALLIANCE (before ICRISAT),9
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,International Crops Research Institute for the Semi-Arid Tropics,9
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),AICCRA EA ILRI,9
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),AICCRA EA ILRI,9
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Africa Rice Center,9
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",AICCRA Regional Partner - AGRHYMET,8
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Centro Internacional de Mejoramiento de Maíz y Trigo,8
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",WorldFish,8
IPI 1.4,(2024-2025) IPI 1.4: Appropriate fertilizer nutrient requirements developed for specific crop and soil combinations within prioritized target areas (Hectares)​,International Institute of Tropical Agriculture,8
IPI 2.2,"(2024-2025) IPI 2.2: Capacity of regional organizations with PPAs to generate climate-relevant knowledge products, decision making tools and advisory services strengthened (% of IPI1.1)​",AICCRA Regional Partner - ICPAC,8
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),AICCRA Theme 4 ALLIANCE,8
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),8
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",Africa Rice Center,8
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,AICCRA Gender and Social Inclusion Leader (Lead by ILRI),8
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Jokalante,8
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,AICCRA EA ILRI,8
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,Not Provided,8
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,WorldFish,8
PDO Indicator 4,(2024-2025) PDO Indicator 4:  Enhanced climate information services and/or validated climate-smart agriculture technologies originating in one SSA country are increasingly being made accessible in other SSA countries. (Number) ​,AICCRA Regional Partner - CORAF,8
PDO Indicator 5,(2024-2025) PDO Indicator 5: Beneficiaries with enhanced resilience to climate risks (Number),International Water Management Institute,8
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​","",7
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",AICCRA Regional Partner - ICPAC,7
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Jokalante,7
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,AICCRA Theme 1 ILRI,7
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),"",7
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),International Water Management Institute,7
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,International Water Management Institute,7
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),AICCRA Gender and Social Inclusion Leader (Lead by ILRI),7
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),International Water Management Institute,7
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,AICCRA Regional Partner - AGRHYMET,7
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,WorldFish,7
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Africa Rice Center,7
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,International Institute of Tropical Agriculture,7
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Not Provided,7
PDO Indicator 4,(2024-2025) PDO Indicator 4:  Enhanced climate information services and/or validated climate-smart agriculture technologies originating in one SSA country are increasingly being made accessible in other SSA countries. (Number) ​,AICCRA Regional Partner - RUFORUM,7
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",AICCRA Regional Partner - NEPAD,6
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",International Center for Agricultural Research in the Dry Areas,6
IPI 1.2,(2024-2025) IPI 1.2: Regional Hub for Fertilizers and Soil Health established,International Institute of Tropical Agriculture,6
IPI 1.3,(2024-2025) IPI 1.3: New soil mapping generated by the Regional Hub for Fertilizer and Soil Health (Hectares)​,International Institute of Tropical Agriculture,6
IPI 2.2,"(2024-2025) IPI 2.2: Capacity of regional organizations with PPAs to generate climate-relevant knowledge products, decision making tools and advisory services strengthened (% of IPI1.1)​",AICCRA Regional Partner - AGRHYMET,6
IPI 2.2,"(2024-2025) IPI 2.2: Capacity of regional organizations with PPAs to generate climate-relevant knowledge products, decision making tools and advisory services strengthened (% of IPI1.1)​",AICCRA Regional Partner - ASARECA,6
IPI 2.2,"(2024-2025) IPI 2.2: Capacity of regional organizations with PPAs to generate climate-relevant knowledge products, decision making tools and advisory services strengthened (% of IPI1.1)​",AICCRA WA ALLIANCE (before ICRISAT),6
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,AICCRA Regional Partner - CORAF,6
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,International Center for Agricultural Research in the Dry Areas,6
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Agence Nationale de la Météorologie du Mali,6
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,Africa Rice Center,6
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,AICCRA EA ILRI,6
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,International Crops Research Institute for the Semi-Arid Tropics,6
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),Centro Internacional de Mejoramiento de Maíz y Trigo,6
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),International Livestock Research Institute,6
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,AICCRA Regional Partner - ICPAC,6
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,AICCRA Regional Partner - RUFORUM,6
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,AICCRA Theme 1 ILRI,6
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,International Center for Agricultural Research in the Dry Areas,6
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Centro Internacional de Mejoramiento de Maíz y Trigo,6
PDO Indicator 4,(2024-2025) PDO Indicator 4:  Enhanced climate information services and/or validated climate-smart agriculture technologies originating in one SSA country are increasingly being made accessible in other SSA countries. (Number) ​,AICCRA EA ILRI,6
PDO Indicator 4,(2024-2025) PDO Indicator 4:  Enhanced climate information services and/or validated climate-smart agriculture technologies originating in one SSA country are increasingly being made accessible in other SSA countries. (Number) ​,AICCRA Regional Partner - AGRHYMET,6
PDO Indicator 4,(2024-2025) PDO Indicator 4:  Enhanced climate information services and/or validated climate-smart agriculture technologies originating in one SSA country are increasingly being made accessible in other SSA countries. (Number) ​,Not Provided,6
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Agence Nationale de la Météorologie du Mali,5
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",AICCRA Regional Partner - CORAF,5
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",CGIAR Gender Platform,5
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",International Food Policy Research Institute,5
IPI 2.2,"(2024-2025) IPI 2.2: Capacity of regional organizations with PPAs to generate climate-relevant knowledge products, decision making tools and advisory services strengthened (% of IPI1.1)​",AICCRA Regional Partner - CCARDESA,5
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,AICCRA Regional Partner - RUFORUM,5
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,International Water Management Institute,5
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),WorldFish,5
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,International Institute of Tropical Agriculture,5
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),AICCRA Theme 1 ILRI,5
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,African Group of Negotiators Expert Support,5
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,Agence Nationale de la Météorologie du Mali,5
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,International Crops Research Institute for the Semi-Arid Tropics,5
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,International Institute of Tropical Agriculture,5
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,WorldFish,5
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,Agence Nationale de la Météorologie du Mali,5
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,International Institute of Tropical Agriculture,5
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,Syngenta Foundation for Sustainable Agriculture,5
PDO Indicator 5,(2024-2025) PDO Indicator 5: Beneficiaries with enhanced resilience to climate risks (Number),Not Provided,5
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",CSIR-Crops Research Institute,4
IPI 1.4,(2024-2025) IPI 1.4: Appropriate fertilizer nutrient requirements developed for specific crop and soil combinations within prioritized target areas (Hectares)​,Africa Rice Center,4
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",Africa Rice Center,4
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",International Institute of Tropical Agriculture,4
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,AICCRA Regional Partner - ASARECA,4
IPI 2.3,(2024-2025) IPI 2.3: People engaged in AICCRA-funded capacity development activities (Number) of which at least 30% are women,International Institute of Tropical Agriculture,4
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),Centro Internacional de Mejoramiento de Maíz y Trigo,4
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),CERAAS-Regional Study Centre for Improving Adaptation to Drought,4
IPI 3.1,(2024-2025) IPI 3.1: Validated climate information services and climate-smart agriculture technologies disseminated / made accessible (Number),International Institute of Tropical Agriculture,4
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,Alliance of Bioversity International & the International Center for Tropical Agriculture (CIAT),4
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,International Center for Agricultural Research in the Dry Areas,4
IPI 3.2,(2024-2025) IPI 3.2: Gender-smart climate information services and gender-smart climate-smart agriculture technologies reaching women through customized programs targeting their interests (Number) ​,WorldFish,4
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",International Crops Research Institute for the Semi-Arid Tropics,4
IPI 3.3,"(2024-2025) IPI 3.3: Use or adaptation of AICCRA-funded climate-relevant knowledge products, decision-making tools and services stated and confirmed by surveyed partners and stakeholders, at least 40% (Percentage) ​",Office du Niger,4
IPI 3.4,(2024-2025) IPI 3.4: Policy and investment decisions influenced by engagement and information dissemination by AICCRA funded partnerships and capacity building activities (Number),African Group of Negotiators Expert Support,4
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,"",4
PDO Indicator 1,(2024-2025) PDO Indicator 1: Partners and stakeholders in the Project area increasingly accessing enhanced climate information services and/or validated climate-smart agriculture indicators (Numbers)​,AICCRA Regional Partner - CORAF,4
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,"",4
PDO Indicator 2,(2024-2025) PDO Indicator 2: Beneficiaries in the project area are increasingly accessing enhanced climate information services and/or validated climate-smart agriculture technologies. (Numbers)​,Columbia University,4
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,"",4
PDO Indicator 3,(2024-2025) PDO Indicator 3: Beneficiaries in the project area are using enhanced climate information services and/or validated climate-smart agriculture technologies (Number)​,Centro Internacional de Mejoramiento de Maíz y Trigo,4
PDO Indicator 4,(2024-2025) PDO Indicator 4:  Enhanced climate information services and/or validated climate-smart agriculture technologies originating in one SSA country are increasingly being made accessible in other SSA countries. (Number) ​,AICCRA Gender and Social Inclusion Leader (Lead by ILRI),4
IPI 1.1,"(2024-2025) IPI 1.1: Climate-relevant knowledge products, decision-making tools and advisory services created or enhanced, including GSI dimensions (Number)​",Not Provided,3
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",Agence Nationale de la Météorologie du Mali,3
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",AICCRA EA ILRI,3
IPI 2.1,"(2024-2025) IPI 2.1: Climate advisory platforms/ hubs launched/ strengthened, including their focus on gender and social inclusion (Number)",CSIR-Crops Research Institute,3
